database_identifier,Neurotransmitter release cycle,Neurotransmitter clearance,Transmission across Chemical Synapses,Neuronal System,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Phospholipid metabolism,Metabolism of nucleotides,Signal Transduction,Disease,Acetylcholine Neurotransmitter Release Cycle,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,G alpha (i) signalling events,"Transport of bile salts and organic acids, metal ions and amine compounds","Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,GPCR ligand binding,Organic cation transport,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Disorders of transmembrane transporters,Diseases of metabolism,Metabolism of amino acids and derivatives,Purine salvage,Purine catabolism,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Nucleotide catabolism,Nucleotide salvage,Diseases of nucleotide metabolism,group_type
D12,-0.42672795763246096,-0.42672795763246096,-0.42672795763246096,-0.42672795763246096,0.18948508838255587,-0.42672795763246096,-0.42672795763246096,-0.42672795763246096,-0.5164167452401861,-0.5265562599725622,-0.22634767135199227,-0.42672795763246096,-0.5710265345736696,-0.5710265345736696,0.1838757218887397,-0.5710265345736696,-0.6020547196290221,-0.5710265345736696,-0.05671827995612233,-0.5175083437582311,0.1838757218887397,-0.5710265345736696,0.011195442585190127,-0.05671827995612233,-0.21873137853006877,-0.03324157078386807,-0.03324157078386807,-0.5175083437582311,0.0007557890861960925,-0.5175083437582311,-0.5164167452401861,-0.5175083437582311,-0.5164167452401861,-0.5175083437582311,-0.5175083437582311,Case
D13,-0.5162683064228211,-0.5162683064228211,-0.5162683064228211,-0.5162683064228211,0.4687221875661352,-0.5162683064228211,-0.5162683064228211,-0.5162683064228211,-0.5476029583639498,-0.5262077528467287,-0.5555493830923321,-0.5162683064228211,-0.5641108395476454,-0.5641108395476454,-0.06763928634757839,-0.5641108395476454,-0.6020547196290221,-0.5641108395476454,0.43657868447716874,-0.5263798918493678,-0.06763928634757839,-0.5641108395476454,0.533479287449458,0.43657868447716874,-0.09039017076340915,-0.5259619293617761,-0.5259619293617761,-0.5263798918493678,0.3740815530554501,-0.5263798918493678,-0.5476029583639498,-0.5263798918493678,-0.5476029583639498,-0.5263798918493678,-0.5263798918493678,Case
D15,-0.24056883275415497,-0.24056883275415497,-0.24056883275415497,-0.24056883275415497,0.11634344460980564,-0.24056883275415497,-0.24056883275415497,-0.24056883275415497,-0.31798851261457717,-0.47961965846973875,-0.2737388283900325,-0.24056883275415497,-0.5248277336734982,-0.5248277336734982,0.4525303067572481,-0.5248277336734982,-0.4892747593378165,-0.5248277336734982,-0.3949908408768036,-0.4145770400708962,0.4525303067572481,-0.5248277336734982,-0.4254084733362706,-0.3949908408768036,-0.2796383103957446,-0.07255543691299325,-0.07255543691299325,-0.4145770400708962,-0.24614976289919543,-0.4145770400708962,-0.31798851261457717,-0.4145770400708962,-0.31798851261457717,-0.4145770400708962,-0.4145770400708962,Case
D16,-0.5611381286463296,-0.5611381286463296,-0.5611381286463296,-0.5611381286463296,0.25943531876446524,-0.5611381286463296,-0.5611381286463296,-0.5611381286463296,-0.1616267849380729,-0.5621699817705704,-0.22745909797282884,-0.5611381286463296,-0.5919573345227148,-0.5919573345227148,0.5083860599675855,-0.5919573345227148,-0.28446991752188294,-0.5919573345227148,-0.6000935691851,0.0005281843245624481,0.5083860599675855,-0.5919573345227148,-0.6177806081921254,-0.6000935691851,-0.4669170745053035,-0.005764548505279976,-0.005764548505279976,0.0005281843245624481,-0.5182256119984248,0.0005281843245624481,-0.1616267849380729,0.0005281843245624481,-0.1616267849380729,0.0005281843245624481,0.0005281843245624481,Case
D19,-0.6289320282077541,-0.6289320282077541,-0.6289320282077541,-0.6289320282077541,0.3427017245014034,-0.6289320282077541,-0.6289320282077541,-0.6289320282077541,-0.48390951467311527,-0.5621699817705704,-0.4306100126036258,-0.6289320282077541,-0.5919573345227148,-0.5919573345227148,0.5321677171851921,-0.5919573345227148,-0.6322256198553668,-0.5919573345227148,-0.6005126371513425,-0.4712145964905367,0.5321677171851921,-0.5919573345227148,-0.6013670421848353,-0.6005126371513425,-0.5452734595183631,-0.37168067742160144,-0.37168067742160144,-0.4712145964905367,-0.5740703991650368,-0.4712145964905367,-0.48390951467311527,-0.4712145964905367,-0.48390951467311527,-0.4712145964905367,-0.4712145964905367,Case
D20,-0.38855377657932283,-0.38855377657932283,-0.38855377657932283,-0.38855377657932283,0.22981497085852662,-0.38855377657932283,-0.38855377657932283,-0.38855377657932283,-0.4134359291764536,0.25854499947769516,-0.14690524663924695,-0.38855377657932283,0.19352341384100846,0.19352341384100846,0.4020573820121669,0.19352341384100846,-0.559671430815938,0.19352341384100846,-0.34583193332197176,-0.3625687055713666,0.4020573820121669,0.19352341384100846,-0.2840772167983151,-0.34583193332197176,-0.43123938423468666,0.07609802542995271,0.07609802542995271,-0.3625687055713666,-0.38012980278899194,-0.3625687055713666,-0.4134359291764536,-0.3625687055713666,-0.4134359291764536,-0.3625687055713666,-0.3625687055713666,Case
D21,-0.5826480539787529,-0.5826480539787529,-0.5826480539787529,-0.5826480539787529,-0.25515679640249217,-0.5826480539787529,-0.5826480539787529,-0.5826480539787529,0.17377083142120245,-0.5265562599725622,0.19042404535759253,-0.5826480539787529,-0.5710265345736696,-0.5710265345736696,0.2251654150748126,-0.5710265345736696,-0.4892747593378165,-0.5710265345736696,-0.22414748419278593,-0.22928166413886844,0.2251654150748126,-0.5710265345736696,-0.5070865634257974,-0.22414748419278593,-0.20829849023040867,0.41055872970162116,0.41055872970162116,-0.22928166413886844,-0.41445206284586933,-0.22928166413886844,0.17377083142120245,-0.22928166413886844,0.17377083142120245,-0.22928166413886844,-0.22928166413886844,Case
D22,-0.1189998579439573,-0.1189998579439573,-0.1189998579439573,-0.1189998579439573,0.10372003955953964,-0.1189998579439573,-0.1189998579439573,-0.1189998579439573,0.19876366770922105,-0.16888151488014455,0.0876214498506271,-0.1189998579439573,-0.1271608549065681,-0.1271608549065681,0.2634021677285723,-0.1271608549065681,0.19302816103401157,-0.1271608549065681,-0.5613101525517838,0.41721810890615035,0.2634021677285723,-0.1271608549065681,-0.5857276249538822,-0.5613101525517838,-0.18334485033427034,0.015685247733670662,0.015685247733670662,0.41721810890615035,-0.4831404502594701,0.41721810890615035,0.19876366770922105,0.41721810890615035,0.19876366770922105,0.41721810890615035,0.41721810890615035,Case
D23,0.3790958147835284,0.3790958147835284,0.3790958147835284,0.3790958147835284,-0.39766579737226865,0.3790958147835284,0.3790958147835284,0.3790958147835284,0.6241541116794608,0.2793417039975966,0.48034773618888105,0.3790958147835284,0.5040754104232852,0.5040754104232852,-0.48454807860542265,0.5040754104232852,0.109105722276775,0.5040754104232852,0.5857398060121057,0.7813046217931456,-0.48454807860542265,0.5040754104232852,0.6388714503796163,0.5857398060121057,0.19418923267634938,0.053777673530908766,0.053777673530908766,0.7813046217931456,0.12980841880483115,0.7813046217931456,0.6241541116794608,0.7813046217931456,0.6241541116794608,0.7813046217931456,0.7813046217931456,Case
D25,0.20247952366532307,0.20247952366532307,0.20247952366532307,0.20247952366532307,-0.16824259561110846,0.20247952366532307,0.20247952366532307,0.20247952366532307,0.5462673082556206,0.12256255629725592,0.4541745473269504,0.20247952366532307,0.2182516082646576,0.2182516082646576,-0.08517404420868115,0.2182516082646576,0.1792326553541306,0.2182516082646576,-0.6241930788618443,0.6228083701338578,-0.08517404420868115,0.2182516082646576,-0.6354129114611394,-0.6241930788618443,0.32218787673235977,-0.3864932485790542,-0.3864932485790542,0.6228083701338578,-0.5562684756319533,0.6228083701338578,0.5462673082556206,0.6228083701338578,0.5462673082556206,0.6228083701338578,0.6228083701338578,Case
