database_identifier,Succinic acid,group_type
C00151,0.1352894634963339,Control
C00154,-0.0057001295963031,Control
C00155,-0.2982137100630047,Control
C00162,-0.3405350980406013,Control
C00166,-0.1242490355165547,Control
C00167,0.2124204874791835,Control
C00171,0.3368302226790982,Control
C00173,0.0584436834395995,Control
C00174,0.2381885693142348,Control
C00175,0.3022588714605573,Control
C00177,0.2232995139266953,Control
C00178,-0.1641755180779689,Control
C00179,-0.1878447044855176,Control
C00182,0.3789389045111133,Control
C00185,-0.1605832212937699,Control
C00187,0.4593156741656285,Control
C00190,0.1448275077119339,Control
C00191,0.6246693553901763,Control
C00192,-0.0936813780274388,Control
C00193,-0.0318625715338273,Control
C00197,0.4189901370183893,Control
C00198,0.3009173972765058,Control
C00203,0.2369522770098813,Control
C00204,0.1316003698545336,Control
C00210,0.1508941040274999,Control
C00212,0.0349142909929257,Control
C00214,0.1053394551713015,Control
C00215,0.0200462534003719,Control
C00221,0.0449776193296135,Control
C00224,-0.0689338614741885,Control
C00229,0.6458381283583067,Control
C00231,0.4326376393080097,Control
C00234,0.397423908480785,Control
C00238,0.2156408586085606,Control
C00245,0.3198274815875083,Control
C00249,-0.6015229429570979,Control
C00251,0.0437992093177114,Control
C00254,0.4196803490813166,Control
C00257,0.4534559221925189,Control
C00258,0.2048161187404928,Control
C00262,0.1101805953009628,Control
C00266,0.0557370338071729,Control
C00267,-0.2682278548269001,Control
C00268,0.244541834373166,Control
C00269,0.5421902479585774,Control
C00271,0.5849583902806077,Control
C00274,0.1184716089675921,Control
C00277,0.3193932882069357,Control
C00278,0.2452488051452855,Control
C00279,0.4509560977027609,Control
C00280,0.1085325068840236,Control
C00281,0.0049316427180883,Control
C00282,0.2857556109684078,Control
C00283,0.7949847057882232,Control
C00285,0.2204093213541766,Control
C00289,0.2722109510012802,Control
C00291,0.0601090930881087,Control
C00292,0.1666155113501374,Control
C00294,0.1271165668544229,Control
C00299,0.0798602498869517,Control
C00301,0.1810624879926522,Control
C00304,0.0100069467908157,Control
C00307,0.2397401637685758,Control
C00308,0.5091183620082915,Control
C00309,-0.0193762667598261,Control
C00311,0.4277125613235283,Control
C00314,0.1672892612760393,Control
C00316,0.1663095321268251,Control
C00324,0.1682135128273554,Control
