Samples,Class,1-Methylhistidine,2-Hydroxycinnamic acid,2-Oxindole,3-Phenylpropionitrile,4-Acetamidobutanoic acid,4-Guanidinobutyric acid,4-Hydroxybenzaldehyde,4-Pyridoxic acid,5-Aminovaleric acid,8-Hydroxyquinoline,9-Methyluric acid,Acetylcholine,Acetyl-L-carnitine,Bilirubin,Choline,Cortisol,Creatine,Creatinine,Decanoylcarnitine,D-Erythro-sphingosine 1-phosphate,DL-Arginine,DL-Carnitine,DL-Glutamine,DL-Lysine,DL-Stachydrine,DL-Tryptophan,DL-α-Aminocaprylic acid,D-(+)-Pipecolinic acid,D-(+)-Proline,D-(+)-Pyroglutamic Acid,D-Sphingosine,Hexadecanamide,Hexanoylcarnitine,Hippuric acid,Hypoglycin A,Hypoxanthine,Indole-3-acetic acid,Inosine,L(-)-Carnitine,Leucylproline,L-Histidine,L-Isoleucine,L-Kynurenine,L-(-)-Methionine,L-Norleucine,L(+)-Ornithine,L-Phenylalanine,L-Threonine,L-Tyrosine,L-Tyrosine methyl ester,N8-Acetylspermidine,N-Acetyldopamine,N-Acetyl-L-leucine,N-Acetylornithine,N-Acetylserotonin,Nicotinic acid,Nicotinuric acid,N-Phenylacetylglutamine,Oleamide,Palmitoylcarnitine,Piperine,Pyridoxine,trans-3-Indoleacrylic acid,Trigonelline,Uric acid,Urocanic acid,Valine,α-Aspartylphenylalanine,β-Alanine
D10,Label:TB,0.01,0.11,0.0,0.03,0.05,0.39,0.03,0.0,1.53,0.02,0.06,0.12,0.45,0.04,0.66,0.0,0.27,1.1,0.01,0.01,0.11,1.71,0.14,0.14,0.6,0.89,0.15,0.24,0.76,0.05,0.0,0.15,0.0,0.0,0.0,0.22,0.01,0.03,0.53,0.06,0.09,1.32,0.05,0.26,3.26,0.02,1.77,0.06,0.81,0.01,0.01,0.02,0.01,0.03,0.01,0.04,0.07,0.01,1.14,0.01,0.0,0.0,0.4,0.04,0.03,0.0,0.08,0.0,0.05
D11,Label:TB,0.03,0.14,0.0,0.02,0.02,0.55,0.03,0.0,2.3,0.02,0.02,0.12,0.54,0.01,0.49,0.01,0.37,0.21,0.04,0.01,0.21,1.83,0.2,0.07,3.58,1.1,0.13,0.22,1.15,0.08,0.0,0.04,0.01,0.02,0.0,0.1,0.0,0.01,0.46,0.06,0.01,2.51,0.03,0.3,5.37,0.03,2.29,0.11,1.13,0.01,0.01,0.01,0.02,0.01,0.01,0.0,0.07,0.03,1.68,0.03,0.0,0.0,0.51,0.01,0.02,0.0,0.17,0.0,0.07
D12,Label:TB,0.01,0.06,0.0,0.02,0.07,0.3,0.01,0.02,1.13,0.01,0.03,0.09,0.29,0.02,0.28,0.01,0.25,0.7,0.02,0.0,0.12,1.55,0.16,0.05,1.69,0.5,0.11,0.21,0.5,0.13,0.0,0.1,0.0,0.01,0.0,0.15,0.0,0.01,0.31,0.05,0.02,0.8,0.02,0.18,1.91,0.01,1.09,0.07,0.41,0.0,0.02,0.01,0.02,0.04,0.01,0.08,0.08,0.05,0.96,0.01,0.0,0.0,0.27,0.06,0.05,0.01,0.07,0.01,0.06
D13,Label:TB,0.01,0.07,0.0,0.02,0.03,0.24,0.02,0.0,0.9,0.01,0.04,0.09,0.21,0.01,0.51,0.0,0.13,0.99,0.03,0.01,0.13,1.87,0.14,0.05,0.53,0.67,0.06,0.04,0.67,0.06,0.0,0.26,0.0,0.01,0.0,0.14,0.01,0.01,0.53,0.06,0.03,0.73,0.03,0.12,1.91,0.01,1.31,0.06,0.54,0.0,0.01,0.01,0.02,0.02,0.01,0.06,0.07,0.03,2.4,0.01,0.0,0.0,0.33,0.12,0.03,0.01,0.09,0.02,0.04
D15,Label:TB,0.01,0.11,0.0,0.02,0.13,0.1,0.02,0.0,1.72,0.01,0.02,0.09,0.47,0.01,0.62,0.0,0.17,0.27,0.03,0.02,0.22,2.68,0.18,0.13,0.7,0.71,0.06,0.11,2.64,0.08,0.01,0.44,0.01,0.01,0.0,0.13,0.01,0.0,0.72,0.06,0.08,2.09,0.02,0.22,3.39,0.03,1.5,0.08,0.77,0.0,0.01,0.01,0.03,0.01,0.01,0.0,0.07,0.01,3.76,0.03,0.0,0.0,0.33,0.01,0.09,0.0,0.07,0.05,0.13
D16,Label:TB,0.01,0.14,0.0,0.03,0.12,0.3,0.03,0.0,1.77,0.02,0.05,0.08,0.55,0.01,0.5,0.0,0.38,0.27,0.01,0.02,0.08,2.26,0.14,0.1,3.32,1.0,0.19,0.02,1.3,0.09,0.01,0.77,0.0,0.0,0.01,0.15,0.0,0.0,0.41,0.06,0.04,1.8,0.03,0.21,3.91,0.02,2.05,0.1,1.06,0.01,0.01,0.02,0.09,0.03,0.01,0.02,0.05,0.0,8.27,0.02,0.0,0.0,0.47,0.03,0.03,0.0,0.12,0.02,0.08
D19,Label:TB,0.01,0.07,0.0,0.02,0.07,0.31,0.02,0.0,1.12,0.02,0.05,0.08,0.54,0.03,0.4,0.0,0.1,0.23,0.07,0.02,0.11,1.58,0.11,0.14,0.3,0.69,0.1,0.11,0.71,0.1,0.01,0.43,0.01,0.01,0.01,0.17,0.03,0.01,0.02,0.05,0.19,1.0,0.03,0.19,2.05,0.03,1.12,0.14,0.51,0.0,0.01,0.01,0.07,0.04,0.01,0.09,0.07,0.02,4.99,0.02,0.0,0.0,0.35,0.03,0.04,0.0,0.06,0.01,0.09
D20,Label:TB,0.01,0.08,0.0,0.01,0.05,0.26,0.02,0.0,1.06,0.01,0.05,0.08,0.57,0.01,0.27,0.01,0.09,0.33,0.04,0.02,0.17,2.19,0.11,0.04,2.25,0.39,0.12,0.05,0.62,0.08,0.0,0.61,0.01,0.0,0.0,0.16,0.0,0.02,0.32,0.06,0.01,0.8,0.03,0.17,2.28,0.01,1.86,0.09,0.61,0.0,0.02,0.01,0.03,0.04,0.0,0.01,0.07,0.01,4.38,0.02,0.0,0.0,0.19,0.0,0.05,0.0,0.04,0.03,0.07
D21,Label:TB,0.01,0.1,0.0,0.01,0.07,0.18,0.02,0.0,1.21,0.01,0.01,0.09,0.49,0.01,0.35,0.01,0.27,0.25,0.03,0.01,0.1,2.14,0.15,0.11,0.16,0.67,0.02,0.02,0.84,0.16,0.0,0.35,0.0,0.0,0.0,0.19,0.0,0.02,0.02,0.05,0.03,0.89,0.02,0.22,1.97,0.02,1.46,0.08,0.72,0.0,0.02,0.01,0.03,0.0,0.0,0.0,0.08,0.02,3.23,0.04,0.0,0.0,0.31,0.0,0.16,0.01,0.06,0.01,0.05
D22,Label:TB,0.0,0.09,0.0,0.02,0.13,0.29,0.02,0.02,1.08,0.02,0.05,0.11,0.42,0.02,0.49,0.01,0.06,0.32,0.02,0.01,0.14,1.34,0.02,0.06,0.46,0.67,0.13,0.18,1.03,0.12,0.0,0.41,0.0,0.0,0.0,0.24,0.0,0.03,0.51,0.08,0.09,1.14,0.03,0.23,2.55,0.01,1.39,0.06,0.69,0.01,0.01,0.02,0.02,0.03,0.01,0.09,0.07,0.02,4.33,0.02,0.0,0.0,0.33,0.06,0.04,0.01,0.11,0.02,0.11
