database_identifier,Hemostasis,Neurotransmitter release cycle,Transmission across Chemical Synapses,Neuronal System,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Phospholipid metabolism,Phase II - Conjugation of compounds,Signal Transduction,Triglyceride catabolism,Integration of energy metabolism,Disease,Immune System,Cholesterol biosynthesis,Digestion of dietary lipid,Metabolism of vitamins and cofactors,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Visual phototransduction,Peptide hormone metabolism,Hydroxycarboxylic acid-binding receptors,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Olfactory Signaling Pathway,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",Transport of small molecules,GPCR downstream signalling,Metabolism of proteins,Free fatty acids regulate insulin secretion,"Incretin synthesis, secretion, and inactivation","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",G alpha (q) signalling events,G alpha (i) signalling events,Regulation of insulin secretion,"Transport of bile salts and organic acids, metal ions and amine compounds","Transport of vitamins, nucleosides, and related molecules",SLC-mediated transmembrane transport,Passive transport by Aquaporins,Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Free fatty acid receptors,Aquaporin-mediated transport,GPCR ligand binding,Organic cation/anion/zwitterion transport,Metabolism of lipids,SLC transporter disorders,Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS),Disorders of transmembrane transporters,Metabolism of fat-soluble vitamins,Metabolism of amino acids and derivatives,Metabolism of carbohydrates,Transport of fatty acids,Digestion,Metabolism of steroids,Digestion and absorption,Triglyceride metabolism,Sensory Perception,Sensory perception of taste,"Sensory perception of sweet, bitter, and umami (glutamate) taste",Retinoid metabolism and transport,group_type
POS 13,0.6519214023387695,0.5685422471408961,0.5685422471408961,0.5685422471408961,-0.16967597006908916,0.10693984437083068,0.5898103787380522,0.5898103787380522,0.409577022115346,0.5316683271315502,0.6519214023387695,-0.5813554154860245,0.6179615396727284,0.7247429208225913,0.7247429208225913,0.6519214023387695,0.537965267376471,0.42925587996360903,-0.21001583512975738,-0.21001583512975738,0.6836578274907965,-0.5058482142724565,-0.5407174477642268,0.5179904621358778,0.600498042474208,0.3558173339263754,0.552717328555882,0.477998577981699,0.5179904621358778,-0.5058482142724565,-0.5813554154860245,0.552717328555882,-0.5813554154860245,-0.4435366151103726,-0.45662836741532464,-0.5813554154860245,-0.10370892520286058,0.6216035034345454,0.49679204776206803,0.2255026095811201,-0.5813554154860245,0.552717328555882,0.2255026095811201,0.5914392756648861,-0.2589840406463727,0.38431635725497965,0.6144736405006506,0.6039872784525183,0.6340730665903968,0.6836578274907965,-0.10842464345931661,-0.2501694238263872,0.6039872784525183,0.6519214023387695,0.7247429208225913,0.6519214023387695,0.6519214023387695,-0.5207805370464812,0.5280888089722658,0.5280888089722658,0.6836578274907965,Control
POS 14,0.52113272201563,0.629646972138289,0.629646972138289,0.629646972138289,-0.20387187090488954,0.6185781556448522,0.602642739922739,0.602642739922739,0.4759436244610418,0.48589295678557126,0.52113272201563,-0.572375851149822,0.6315165484916224,0.33683502101981216,0.33683502101981216,0.52113272201563,0.668903340216496,0.14094854505372384,-0.11883166150295825,-0.11883166150295825,0.6903447663943848,-0.47936901404363885,-0.4831078804980536,0.4844637879073088,0.5040660899271601,0.24515287945890207,0.5154277993868633,0.466830887273953,0.4844637879073088,-0.47936901404363885,-0.572375851149822,0.5154277993868633,-0.572375851149822,-0.48418105085686547,-0.4761383139788343,-0.572375851149822,0.0018749778575783366,0.6249811488681171,0.46598060707224886,-0.3306490526644861,-0.572375851149822,0.5154277993868633,-0.3306490526644861,0.4853234165701107,-0.4763622361354167,0.5361666185108345,0.6147854769376244,0.6132465600452565,0.6269710456964306,0.6903447663943848,0.26087161252788343,-0.4176128692333213,0.6132465600452565,0.52113272201563,0.33683502101981216,0.52113272201563,0.52113272201563,-0.07614668640714158,0.04010174894744544,0.04010174894744544,0.6903447663943848,Control
POS 15,-0.23644671348798246,0.6425617890582803,0.6425617890582803,0.6425617890582803,-0.07583637838418993,0.4473290002423894,0.15231480528680816,0.15231480528680816,0.5596761709335412,0.49180915228889704,-0.23644671348798246,-0.36317269544546643,0.6770562835935976,0.3605934612837365,0.3605934612837365,-0.23644671348798246,0.5851083433749966,0.47058161120442416,-0.45421159089054397,-0.45421159089054397,0.6164060777216627,-0.45817137219005916,-0.5636196394807788,0.5009473871157533,0.5088948954686852,0.391184701653201,0.47650031839995655,0.5417957087372326,0.5009473871157533,-0.45817137219005916,-0.36317269544546643,0.47650031839995655,-0.36317269544546643,-0.4767371353120255,-0.6170417289201983,-0.36317269544546643,0.35412661962288483,0.7060523839343416,0.5927592758603095,0.10037144873409656,-0.36317269544546643,0.47650031839995655,0.10037144873409656,0.5052591433547027,-0.4659407735380716,-0.15794559921364465,0.6924791370148698,0.7175693074470477,0.687515388416545,0.6164060777216627,0.08133286515363396,0.1703621242874733,0.7175693074470477,-0.23644671348798246,0.3605934612837365,-0.23644671348798246,-0.23644671348798246,-0.5649592934917377,0.7105289192953586,0.7105289192953586,0.6164060777216627,Control
POS 16,-0.24275148668426205,0.5311028020748207,0.5311028020748207,0.5311028020748207,-0.3022833749407454,0.2012066040912461,0.027264392378940083,0.027264392378940083,0.6283170047361315,0.49638557838880415,-0.24275148668426205,-0.5118960669641963,0.6442693126836323,-0.07671498887544632,-0.07671498887544632,-0.24275148668426205,0.6371687192182035,0.336503403986912,-0.35644502746843926,-0.35644502746843926,0.6189070503097255,-0.4888445270418136,-0.3873097370717376,0.48752179041918087,0.498351608258866,0.35892986758961887,0.5324304972975932,0.5125259539125291,0.48752179041918087,-0.4888445270418136,-0.5118960669641963,0.5324304972975932,-0.5118960669641963,-0.5493588647791766,-0.3397346258974048,-0.5118960669641963,0.3013085563332549,0.6509801241737566,0.5583717821257045,-0.19876328463330217,-0.5118960669641963,0.5324304972975932,-0.19876328463330217,0.47858592726490246,-0.550578774396196,0.004143341256032921,0.6378459086048998,0.655827791062079,0.6499975281945306,0.6189070503097255,0.3111505927249891,-0.18572773551379,0.655827791062079,-0.24275148668426205,-0.07671498887544632,-0.24275148668426205,-0.24275148668426205,-0.45940129928852613,0.3014432782720517,0.3014432782720517,0.6189070503097255,Control
125,0.535846162428318,0.4577909214427546,0.4577909214427546,0.4577909214427546,-0.2542165072109266,-0.6584215837465263,0.05931959864115272,0.05931959864115272,0.6116041352072731,0.49894608654437256,0.535846162428318,-0.5051974090402451,0.5421319888489757,-0.0322418444203501,-0.0322418444203501,0.535846162428318,0.3970830851656395,0.01989266403373342,-0.5298874162877776,-0.5298874162877776,0.6581683944570967,-0.4919573995314985,-0.27068070031059327,0.4816604464346803,0.45302900105946137,0.2523808433595136,0.4967333723832346,0.5182487582789346,0.4816604464346803,-0.4919573995314985,-0.5051974090402451,0.4967333723832346,-0.5051974090402451,-0.5062321736784452,-0.3827531796754565,-0.5051974090402451,0.39884440933790827,0.615228428301055,0.5030941029824126,0.7663465354236102,-0.5051974090402451,0.4967333723832346,0.7663465354236102,0.46683439643293956,-0.2996869762240199,0.11589684238023555,0.4974531220645125,0.6309995284057401,0.5194844287372734,0.6581683944570967,0.42461417391970824,-0.4283405422365371,0.6309995284057401,0.535846162428318,-0.0322418444203501,0.535846162428318,0.535846162428318,-0.46340722051351446,0.7060236639371579,0.7060236639371579,0.6581683944570967,Control
126,-0.3515659913036084,-0.06113809962489513,-0.06113809962489513,-0.06113809962489513,0.14002960408443652,-0.4707270900063054,-0.38556561354452745,-0.38556561354452745,0.6062425911824444,-0.3439050710955795,-0.3515659913036084,0.2933115019698805,-0.31639578216973746,-0.4573749156794751,-0.4573749156794751,-0.3515659913036084,-0.5516988499174105,0.4516868153945725,-0.5327852089252606,-0.5327852089252606,-0.6055445002266078,0.2060093529580242,0.37022474339234945,-0.3495195400731233,-0.30376778722103664,-0.27875918642339675,-0.1997699512871389,-0.3479182904254945,-0.3495195400731233,0.2060093529580242,0.2933115019698805,-0.1997699512871389,0.2933115019698805,0.21586112709785038,0.31712497441394355,0.2933115019698805,-0.31003839021193175,-0.2748032947796695,-0.3401247537941533,-0.392573139586766,0.2933115019698805,-0.1997699512871389,-0.392573139586766,-0.31632617406509783,0.3099391527506734,-0.2997247711801555,-0.2229721425675448,-0.16441769537336204,-0.23117240935232675,-0.6055445002266078,-0.18141010070847266,0.0455275139675509,-0.16441769537336204,-0.3515659913036084,-0.4573749156794751,-0.3515659913036084,-0.3515659913036084,0.2243375665256931,0.7094226174041477,0.7094226174041477,-0.6055445002266078,Control
127,0.589628815930813,0.60160082606108,0.60160082606108,0.60160082606108,-0.3969421452819638,-0.5557463243739291,0.3227612987199232,0.3227612987199232,-0.20141249099238526,0.46808238650851225,0.589628815930813,-0.6056534778732637,0.48599023234123867,-0.06542087370974109,-0.06542087370974109,0.589628815930813,0.503683740228467,-0.36044430525478627,-0.33721216887407235,-0.33721216887407235,0.6710258734413307,-0.18546874184487244,-0.14183638861772208,0.4593650008340903,0.48085554342587233,0.07769544562468944,0.5465060982970997,0.44547014646046806,0.4593650008340903,-0.18546874184487244,-0.6056534778732637,0.5465060982970997,-0.6056534778732637,-0.4301725716108282,-0.11984971001885822,-0.6056534778732637,0.4719870157441773,0.4904782462742835,0.4298164646011107,0.5910745813073748,-0.6056534778732637,0.5465060982970997,0.5910745813073748,0.45583267627176355,-0.207557569969121,0.15929246971782346,0.5026171094588099,0.5123126364400581,0.5223004028457396,0.6710258734413307,0.33943513041959306,-0.10554901629472019,0.5123126364400581,0.589628815930813,-0.06542087370974109,0.589628815930813,0.589628815930813,-0.08463038727964499,0.6865397328339395,0.6865397328339395,0.6710258734413307,Control
129,0.018764650441972456,0.5821749962824331,0.5821749962824331,0.5821749962824331,-0.2350723750090009,-0.21324575583822092,-0.18252243436391263,-0.18252243436391263,-0.2511175541771342,0.5054762766118136,0.018764650441972456,-0.47345996340324387,0.41809112336399545,-0.04581757647234154,-0.04581757647234154,0.018764650441972456,0.1924982193504005,-0.17558734917105237,0.39888970997767886,0.39888970997767886,0.6837924960925768,-0.4239064952226878,-0.33374959703819074,0.5035427892794502,0.49241467620075885,0.3047403700002858,0.4583122063121352,0.3794710568222071,0.5035427892794502,-0.4239064952226878,-0.47345996340324387,0.4583122063121352,-0.47345996340324387,-0.4146270359175754,-0.44762287660868383,-0.47345996340324387,0.3321655965650134,0.35051604115559626,0.39741178946005395,-0.3492988223230658,-0.47345996340324387,0.4583122063121352,-0.3492988223230658,0.4971131703388806,-0.320713975316152,0.013776355380984305,0.39774114456970316,0.39831296009714817,0.42074749816843665,0.6837924960925768,0.29597087164882785,-0.05340080773109771,0.39831296009714817,0.018764650441972456,-0.04581757647234154,0.018764650441972456,0.018764650441972456,-0.5074133619007575,0.7105289192953586,0.7105289192953586,0.6837924960925768,Control
130,0.6881654234203904,0.5389760916677221,0.5389760916677221,0.5389760916677221,-0.3874756988143231,0.526400079718141,0.6921553315742537,0.6921553315742537,-0.016659499613921536,0.3541416067178135,0.6881654234203904,-0.230256443993155,0.24244122307604699,0.5637327139945573,0.5637327139945573,0.6881654234203904,0.37559922202311474,0.19509105822261336,0.5318757004703916,0.5318757004703916,0.6089286750165279,-0.20884674807616663,-0.3886732134965466,0.3454537717244777,0.3100280787673361,0.26478288905713154,0.27415804368594565,0.36075079852695985,0.3454537717244777,-0.20884674807616663,-0.230256443993155,0.27415804368594565,-0.230256443993155,-0.2681498624624744,-0.35567270853762567,-0.230256443993155,0.6817783431915514,0.2526063398543629,0.3387098973557648,0.7146073341585817,-0.230256443993155,0.27415804368594565,0.7146073341585817,0.2868317873005902,-0.45297821886052253,0.569949491278984,0.2857965507671536,0.30296745782104323,0.2928108074795492,0.6089286750165279,0.38917597783774904,-0.38805163047996405,0.30296745782104323,0.6881654234203904,0.5637327139945573,0.6881654234203904,0.6881654234203904,-0.4782256841862052,0.7124271079475081,0.7124271079475081,0.6089286750165279,Control
132,-0.5050256752971207,0.6623574387390541,0.6623574387390541,0.6623574387390541,-0.04538449502108107,-0.593194682055419,-0.241621338761221,-0.241621338761221,-0.43558850222317164,0.13356749872609547,-0.5050256752971207,-0.4511514585544561,0.1275940723870421,0.7060532000555463,0.7060532000555463,-0.5050256752971207,0.215390623849835,-0.35527337534557873,0.005195864793295473,0.005195864793295473,0.6424210517136126,-0.3513545927183114,-0.2640617684656486,0.14355215678867841,0.25368904203296017,-0.0017754781841898034,0.32924886272133363,0.04178112457391048,0.14355215678867841,-0.3513545927183114,-0.4511514585544561,0.32924886272133363,-0.4511514585544561,-0.232387784417525,-0.24161234517802874,-0.4511514585544561,0.07338972044536132,0.2781760793451211,0.10625125245643258,-0.11232040335216131,-0.4511514585544561,0.32924886272133363,-0.11232040335216131,0.2143239805920523,-0.20061292560207986,-0.24514225312353197,0.19369776428031218,0.350492026802622,0.19779912364578,0.6424210517136126,0.24923986582962918,0.2323324852859771,0.350492026802622,-0.5050256752971207,0.7060532000555463,-0.5050256752971207,-0.5050256752971207,-0.2736178762473178,0.7125899685993186,0.7125899685993186,0.6424210517136126,Control
