database_identifier,group_type,CHEBI:15428,CHEBI:15603,CHEBI:15891,CHEBI:15971,CHEBI:16015,CHEBI:16283,CHEBI:16414,CHEBI:16467,CHEBI:16643,CHEBI:16737,CHEBI:16828,CHEBI:16857,CHEBI:16977,CHEBI:17115,CHEBI:17126,CHEBI:17191,CHEBI:17196,CHEBI:17203,CHEBI:17295,CHEBI:17895,CHEBI:18019,CHEBI:18050,CHEBI:18102,CHEBI:18211,CHEBI:18257,CHEBI:20392,CHEBI:28683,CHEBI:28867,CHEBI:57589,CHEBI:73025,CHEBI:7676
METAB01_Smpl_55,Case,-0.19899093269503548,0.8640293049405088,1.7057631433902274,-0.2642982849002526,-0.724020250576493,-2.1974780016004645,0.416110551599971,-0.1774687774559487,-0.333282494854446,-0.6796171478008773,-0.3929137499045983,-0.7187485172126834,0.12780455182346506,-0.5041751608878432,-1.0878108546650318,-0.06689967103961554,-1.0568943141837568,-0.6158422961462707,-0.6712916494160874,-0.7874897324301434,-0.23424909543733202,0.6713373550254929,1.2248311987342768,-0.8185696966946967,-1.1851074681727714,-0.4580088503019987,-0.9350186572004343,-0.6198316884882678,0.9436919872638605,-1.0702373628001103,-0.9592949162669206
METAB01_Smpl_32,Case,-1.637654029321959,0.09854225149737095,-0.7929355978816519,-1.903705320019851,-1.7262493984908733,-1.980325740956856,-2.6151817852358445,-1.805886103374184,-1.4883165619938172,-2.11109808225151,-2.6850770183808277,-2.061178341318215,-0.4537500945227302,-2.118375260799694,-2.020417266492689,-0.8898158014341312,-1.41189945417268,-1.1401001548375382,-2.0023002578811675,-1.3332716619075409,-1.623020977227532,-1.850664614431711,-0.24472092221112315,-2.1730396192182813,-1.5071824743694717,-0.7818306415981439,-0.5413725368398256,-1.3618638081514618,1.68372169558764,-1.029562249922243,0.1732310840276321
METAB01_Smpl_52,Case,-0.13484978581702312,0.6042845111581898,1.8893402066386489,-0.41355885279806476,2.0408168034554666,1.3004643095380009,0.8120825680889556,1.227380091474261,0.10559828717935725,-1.4589424623257305,0.6479530075879572,1.1222489577490116,1.7127683565955723,0.15343392587729424,-0.19706987568325712,-1.1174964149389197,0.7531025761794891,0.7040863555806074,0.7959969498278905,1.0576873452139735,0.19649199564906394,-0.8793326532077099,1.0369160677125195,-0.3061794040125708,-0.023632233719844752,0.9260577618662518,-0.4881691704891392,0.05421838946749359,-0.2531863216646055,-0.8324570842083373,0.559794797248613
METAB01_Smpl_53,Case,-0.7927891260638136,1.7094634973002467,1.7954178526557265,-1.2681679289133856,1.6931654227237125,0.2990265291664436,-0.6645308495078776,1.3534301493222944,-0.09934834981799341,-1.7448359100455733,-1.457140378902376,-0.12877390227701907,0.6377922718456895,-0.7943984584603565,-0.5245671803830587,-1.4126255816641042,0.7989906394848645,-0.6074047106583865,2.0946821187504603,-0.4672097182334053,-0.7162953515087888,-0.6270446600146522,1.9382998808328065,-0.9398098129104426,-0.7011699644078123,-0.4894752948123497,0.3626210799509653,-0.2880186337656791,0.8941030586622913,-0.40866148964010823,-0.07859353672298287
METAB01_Smpl_54,Case,-1.0201129445323822,0.6542823743796515,0.20034632455795287,-1.5448597322229802,0.31082346132729083,-2.035898285741579,0.3712271116261948,-1.675080561780138,-1.9732312189600254,-0.22312987090800793,-0.7811848662693398,-2.467742658114116,-0.13668439432174512,-0.3392907208417442,0.5429195845235824,-1.2110406519970156,-1.6426612280107835,-2.3356759645493423,1.0798494401184144,-0.6691626096492289,-1.9691129914401369,-1.223440554096075,1.3352483724105724,-1.3718315354458996,-0.9334283828337115,-0.7724165898210399,2.5826096614653316,0.5532169195609746,1.2865003522327219,0.9872499565916483,0.32235213641621496
METAB01_Smpl_33,Case,-0.8979765071343196,0.06931138839232391,-1.391258953333295,-1.3186235352068534,-0.6448985743159314,-0.8199482535671032,-0.5563071261957261,-0.4050313851521299,-0.5716635897891655,-0.28443094286736875,-2.4288048720916287,0.6254720606102948,1.3106505308709886,-0.6336934890752897,0.03722222649702194,-0.7730073808435619,-0.01646812947965947,-0.2884840118500963,-1.6955417849470404,-1.842457331547227,-0.2776095189035785,-0.8002964741139612,-0.12081302034285583,-0.525860967330814,-0.16112590458881387,1.192495425125689,-0.3480398991977462,0.5292463657929822,0.654380810196444,0.2226964954035455,0.7841404178840712
METAB01_Smpl_57,Case,-0.5069796852708618,0.3236845029843238,1.0527876694972333,-2.1733320795366153,1.0038269868964487,-0.46467472887941574,-0.632119288981623,-1.5036743819512624,-1.3523230452266783,-0.8196091317333632,-1.4056978651859242,-2.2566393807043177,0.18473554189572314,0.01052705757333011,-1.7661564886602277,-1.802140316079824,-1.7855096253436096,-1.4016559000728064,1.1649487278460458,-1.0266073543881558,-1.527376488554965,-1.2174477584071004,1.1004453381733446,-0.9804169235252205,-0.23570897173536087,-0.7610405796018732,1.622573522000823,-0.4967384769151434,-1.5082477237191667,-0.25483837994467323,-1.2047320816542126
METAB01_Smpl_56,Case,-0.17382647866263617,0.14727020853800077,1.8189503835507879,-1.37626926929988,-0.4561348107182352,-2.4838639255966948,-0.38392345267752337,-0.47994917675274124,0.07337114985948277,-1.0974008212302728,-0.5975748062955123,-0.17181501960453377,-0.029756113460026563,-0.05596120337029486,-0.7279972344418149,-1.4930310727422287,-0.046174880415010604,-1.080636228536711,-0.07578211635518056,-0.3782819685856244,-0.42931765885030304,-0.3722507015722885,1.2012090018114059,-1.780623304497434,-0.8557157326377416,-0.8309294546858849,-0.8724644216340242,-0.3609068393456132,-0.08108431301257889,-0.259555954642027,-0.9438174372352214
METAB01_Smpl_64,Case,0.7634785816849197,1.5944719591059793,1.6503139556499637,0.4243932020958056,1.923859800295784,-0.6906718840961695,0.9548983768183195,1.8803430726320234,1.819176567271569,0.3045791009243755,1.1351087007562664,0.7376106149901056,2.4943323299631235,1.200419210957871,0.6616710278458797,0.01884384422660627,2.3573518180979676,1.274724980481854,2.1994960650561035,1.056399965464733,1.7375086989569055,0.8089625595561507,1.1540213886467547,0.4330729136759821,1.0037058100004361,-0.13822068283152372,1.1938772831524105,1.4689420770599395,0.11096475515814397,0.43030651696520794,1.6638424452889864
METAB01_Smpl_58,Case,0.43970276406155684,0.38603150839685435,0.019238194866225335,-0.6331784565614705,-0.9859697401943502,-1.7646516532615721,-0.2792247924105221,0.3419395571614736,0.3207639141914214,-0.9885966215241905,0.09253095118652016,1.1078716305115925,1.6190122595125234,0.253434279660671,-0.9477379083180656,-0.964712905936125,0.5455416628695294,0.6065309310875979,-0.37833622194778765,0.5362433441984334,0.29110220433023226,0.9126647376577196,1.1147864897146196,0.3794460172883223,-0.5659635813395121,-0.2809021748928095,-0.9515927290418069,-0.6727760370059163,-0.29833227424361236,-1.0331866901118858,-0.17683166891736082
METAB01_Smpl_61,Case,0.5318071638801266,0.5620708989726744,1.2589643012528382,-0.3617808736580935,0.10323435457547998,0.6783707408153739,-0.22670560264387818,0.37643010045577047,0.3575925882793018,-1.0389985261036567,-0.24853382613840277,0.9595420158285205,1.8091142036932015,0.5224581664061976,-0.1396092313624733,-1.248944610370852,0.5711693372149835,-0.07160316663278281,0.13025682483842468,0.2513426928214844,0.08972339646911047,0.813841896857635,1.3843698747134305,0.4081149169211668,0.38919495581458,0.5802263003389613,-1.8707449495320174,0.8771606671116884,-0.14080162125813817,-0.8095740918859491,-0.08040300298912557
